Mane,FCI,45,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",1,Small
Clockroach,MM4,28,Construct,1,Small
Howler Wasp,MM4,74,Aberration,1,Small
Orc Battle Priest,MM4,115,Humanoid,1,Medium
Whitespawn Hordeling,MM4,156,"Monstrous Humanoid (Cold, Dragonblood)",1,
Varag,MM4,168,Humanoid (Goblinoid),1,Medium
Windrazor,MM4,176,Outsider (Extraplanar),1,Small
Yuan-ti Wretchling,SX,86,Aberration,1,Medium
Phynxkin,DM,116,Animal (Dragonblood),1,Medium
Ratatosk,EDP,210,Monstrous Humanoid (Extraplanar),1,Medium
Snake Head,SSL,152,Construct,1,Tiny
Fetid Fungus,MM5,56,Plant,1,Medium
Jaebrin,MM5,92,Fey,1,Medium
Lashemoi,MM5,186,Monstrous Humanoid,1,Medium
Krinth,An,150,Humanoid (Extraplanar),1,Medium
Abrian,FF,12,Magical Beast (Extraplanar),1,Medium
"Animated Object, Small",MM,13,Construct,1,Small
"Ant, Giant Worker",MM,284,Vermin,1,Medium
Asabi,Mon,15,Humanoid (Reptilian),1,Medium
Ash Rat,MM2,24,Magical Beast (Fire),1,Small
"Bee, Giant",MM,284,Vermin,1,Medium
Beguiler,ShS,60,Magical Beast,1,Small
Bladeling,LF,44,Outsider,1,Medium
Bladeling,MM2,31,Outsider (Lawful),1,Medium
Bloodbloater,FF,16,"Ooze (Aquatic, Swarm)",1,Medium
Blue,XPH,189,"Humanoid (Goblinoid, Psionic)",1,Small
Bogun,CD,152,Construct,1,Tiny
Bogun,MM2,34,Construct,1,Tiny
Bogun,MW,82,Construct,1,Tiny
Brixashulty,RW,186,Animal,1,Medium
Bullywug,Mon,25,Humanoid (Aquatic),1,Medium
Camel,MM,270,Animal,1,Large
"Camel, Dromedary",Sa,192,Animal,1,Large
"Camel, Two-Humped",Sa,193,Animal,1,Large
"Centipede, Lesser Spirit",OA,150,Outsider (Spirit),1,Tiny
Chitine,Mon,26,Monstrous Humanoid,1,Small
Climbdog,AE,76,Animal,1,Small
Darkmantle,MM,38,Magical Beast,1,Small
"Dinosaur, Swindlespitter",MM3,41,Animal ,1,Small
"Dog, Riding",MM,272,Animal,1,Medium
Dolgrim,ECS,282,Aberration,1,Small
Domovoi,Fr,121,Fey (Fire),1,Small
"Dragon, Spiretop",Sh,185,Dragon,1,Tiny
"Dragonfly, Giant",AE,90,Vermin,1,Large
"Dwarf, Duergar",MM,92,Humanoid (Dwarf),1,Medium
"Dwarf, Duergar Psionic",XPH,195,"Humanoid (Dwarf, Psionic)",1,Medium
"Dwarf, Glacier",Fr,122,Humanoid (Dwarf),1,Medium
Elk,SM,119,Animal,1,Large
Elven Hound,RW,189,Magical Beast,1,Medium
"Equine, Amphail Gray",CV,154,Animal,1,Large
"Equine, Calimite",CV,154,Animal,1,Large
"Equine, Chionthar",CV,154,Animal,1,Large
"Equine, Dambraii",CV,155,Animal,1,Large
"Equine, Kromlor",CV,155,Animal,1,Large
"Equine, Lhesperan",CV,155,Animal,1,Large
"Equine, Meth",CV,155,Animal,1,Large
"Equine, Nars",CV,156,Animal,1,Large
"Equine, Raurin",CV,156,Animal,1,Large
