"Animal, Arctic", "Fr", "164", "Animal", "Varies"
"Animal, Dire", "Fr", "115", "Animal", "Varies"
"Animated Object", "MM", "13", "Construct", "Varies"
"Ant, Giant", "MM", "284", "Vermin, Medium", "Varies"
"Archon", "BE", "159", "Outsider (Archon, Extraplanar, Good, Lawful)", "Varies"
"Archon", "MM", "16", "Outsider", "Varies"
"Arrowhawk", "MM", "19", "Outsider", "Varies"
"Astral Construct", "XPH", "185", "Construct", "Varies"
"Automaton", "MM2", "27", "Construct", "Varies"
"Azurin", "MoI", "170", "Humanoid, Medium (Human, Incarnum)", "Varies"
"Bat, Desmodu", "MM2", "65", "Animal", "Varies"
"Bat, Desmodu Guard", "DH", "31", "Animal, Large", "Varies"
"Bat, Desmodu War", "DH", "31", "Animal, Huge", "Varies"
"Behemoth", "EL", "169", "Outsider", "Varies"
"Beholderkin", "LoM", "135", "Aberration", "Varies"
"Bonesinger", "Gh", "158", "Undead", "Varies"
"Breed Leech", "MoE", "154", "Aberration, Tiny (Symbiont)", "Varies"
"Canomorph", "FF", "25", "Outsider, Medium", "Varies"
"Captured One", "MM2", "204", "Construct", "Varies"
"Celestial", "MM2", "42", "Outsider (Good)", "Varies"
"Centipede, Monstrous ", "MM", "287", "Vermin", "Varies"
"Changeling", "MM3", "24", "Humanoid, Medium (Shapechanger)", "Varies"
"Chiang Lung (River Dragon)", "OA", "155", "Dragon (Spirit, Water)", "Varies"
"Clockwork Horror", "MM2", "47", "Construct, Small", "Varies"
"Colossus", "EL", "170", "Construct", "Varies"
"Crab, Monstrous", "Sto", "141", "Vermin", "Varies"
"Crawling Gauntlet", "MoE", "154", "Aberration, Tiny (Symbiont)", "Varies"
"Cryohydra", "MM", "157", "Magical Beast, Huge (Cold)", "Varies"
"Dark Ones", "FF", "37", "Humanoid", "Varies"
"Death Knight", "MM2", "207", "Undead", "Varies"
"Demodand", "FF", "42", "Outsider (Evil, Extraplanar)", "Varies"
"Demon", "FF", "46", "Outsider (Evil, Extraplanar)", "Varies"
"Demon", "MM", "40", "Outsider", "Varies"
"Demon", "MM2", "56", "Outsider", "Varies"
"Deva", "FF", "55", "Outsider (Extraplanar, Good)", "Varies"
"Devastation Vermin", "EL", "177", "Vermin", "Varies"
"Devil", "FF", "57", "Outsider (Evil, Extraplanar)", "Varies"
"Devil", "MM", "50", "Outsider", "Varies"
"Devil", "MM2", "67", "Outsider", "Varies"
"Dinosaur", "MM", "60", "Animal", "Varies"
"Dinosaur", "MM2", "70", "Animal", "Varies"
"Dinosaur", "Sto", "144", "Animal", "Varies"
"Dire Animal", "MM", "62", "Animal", "Varies"
"Dire Animal", "MM2", "74", "Animal", "Varies"
"Dire Animal", "Sto", "147", "Animal", "Varies"
"Dracolich", "Dr", "146", "Undead", "Varies"
"Dracolich", "FRCS", "310", "Undead", "Varies"
"Dragon, Advanced", "EL", "179", "Dragon", "Varies"
"Dragon, Amethyst", "MM2", "79", "Dragon (Earth)", "Varies"
"Dragon, Battle (Planar)", "Dr", "176", "Dragon (Extraplanar)", "Varies"
"Dragon, Black", "MM", "70", "Dragon (Water)", "Varies"
"Dragon, Blue", "MM", "72", "Dragon (Earth)", "Varies"
"Dragon, Brass", "MM", "79", "Dragon (Fire)", "Varies"
"Dragon, Bronze", "MM", "80", "Dragon (Water)", "Varies"
"Dragon, Brown", "Mon", "38", "Dragon (Earth)", "Varies"
"Dragon, Chaos (Planar)", "Dr", "177", "Dragon (Chaos, Extraplanar)", "Varies"
"Dragon, Chromatic", "MM", "70", "Dragon", "Varies"
"Dragon, Copper", "MM", "82", "Dragon (Earth)", "Varies"
"Dragon, Crystal", "MM2", "81", "Dragon (Air)", "Varies"
"Dragon, Deep", "Mon", "40", "Dragon (Earth)", "Varies"
"Dragon, Emerald", "MM2", "82", "Dragon (Air)", "Varies"
"Dragon, Epic", "EL", "181", "Dragon", "Varies"
"Dragon, Epic Force", "EL", "182", "Dragon (Force)", "Varies"
"Dragon, Epic Prismatic", "EL", "184", "Dragon (Light)", "Varies"
"Dragon, Ethereal (Planar)", "Dr", "179", "Dragon (Extraplanar)", "Varies"
"Dragon, Fang", "Dr", "159", "Dragon", "Varies"
"Dragon, Fang", "Mon", "41", "Dragon (Air)", "Varies"
"Dragon, Gem", "MM2", "77", "Dragon", "Varies"
"Dragon, Ghostly", "Dr", "161", "Undead (Incorporeal)", "Varies"
"Dragon, Gold", "MM", "84", "Dragon (Fire)", "Varies"
"Dragon, Green", "MM", "74", "Dragon (Air)", "Varies"
"Dragon, Howling (Planar)", "Dr", "180", "Dragon (Extraplanar)", "Varies"
"Dragon, Incarnum", "MoI", "172", "Dragon (Extraplanar, Incarnum)", "Varies"
"Dragon, Metallic", "MM", "79", "Dragon", "Varies"
"Dragon, Oceanus (Planar)", "Dr", "181", "Dragon (Aquatic, Extraplanar)", "Varies"
"Dragon, Planar", "Dr", "176", "Dragon (Extraplanar)", "Varies"
"Dragon, Pyroclastic (Planar)", "Dr", "182", "Dragon (Extraplanar)", "Varies"
"Dragon, Radiant (Planar)", "Dr", "185", "Dragon (Extraplanar)", "Varies"
"Dragon, Rattelyr", "ShS", "63", "Dragon (Fire)", "Varies"
"Dragon, Red", "MM", "75", "Dragon (Fire)", "Varies"
"Dragon, Rust (Planar)", "Dr", "186", "Dragon (Extraplanar)", "Varies"
"Dragon, Sand", "Sa", "152", "Dragon (Earth)", "Varies"
"Dragon, Sapphire", "MM2", "84", "Dragon (Earth)", "Varies"
"Dragon, Shadow", "Dr", "191", "Dragon", "Varies"
"Dragon, Shadow", "Mon", "42", "Dragon (Shadow)", "Varies"
"Dragon, Silver", "MM", "86", "Dragon (Cold)", "Varies"
"Dragon, Skeletal", "Dr", "192", "Undead", "Varies"
"Dragon, Song", "Mon", "44", "Dragon (Electricity)", "Varies"
"Dragon, Styx (Planar)", "Dr", "187", "Dragon (Aquatic, Extraplanar)", "Varies"
"Dragon, Tarterian (Planar)", "Dr", "189", "Dragon (Extraplanar)", "Varies"
"Dragon, Topaz", "MM2", "85", "Dragon (Water)", "Varies"
"Dragon, True", "MM", "68", "Dragon", "Varies"
"Dragon, Vampiric", "Dr", "195", "Undead", "Varies"
"Dragon, White", "MM", "77", "Dragon (Cold)", "Varies"
"Dragon, Zombie", "Dr", "197", "Undead", "Varies"
"Dragonborn of Bahamut (Player Race", "RDr", "5", "(Dragonblood)", "Varies"
"Dragonkin", "Mon", "45", "Monstrous Humanoid, Large (Reptilian)", "Varies"
"Drake, Elemental", "Dr", "152", "Dragon, Large", "Varies"
"Duskling", "MoI", "175", "Fey, Medium (Extraplanar, Incarnum)", "Varies"
"Dwarf", "MM", "91", "Humanoid, Medium (Dwarf)", "Varies"
"Dwarf, Deep", "MM", "92", "Humanoid, Medium (Dwarf)", "Varies"
"Dwarf, Faerunian", "Mon", "47", "Humanoid", "Varies"
"Dwarf, Frost", "PlH", "113", "Humanoid, Medium (Dwarf, Extraplanar)", "Varies"
"Dwarf, Mountain", "MM", "93", "Humanoid, Medium (Dwarf)", "Varies"
"Ectoplasmic Vermin", "Gh", "161", "Vermin", "Varies"
"Eladrin", "BE", "168", "Outsider (Chaotic, Eladrin, Extraplanar, Good)", "Varies"
"Eladrin", "MM", "93", "Outsider", "Varies"
"Elemental", "MM", "95", "Elemental", "Varies"
"Elemental Weird", "Fr", "125", "Elemental", "Varies"
"Elemental, Air", "MM", "95", "Elemental, Air (Air, Extraplanar)", "Varies"
"Elemental, Earth", "MM", "98", "Elemental (Earth)", "Varies"
"Elemental, Fire", "MM", "98", "Elemental (Fire, Extraplanar)", "Varies"
"Elemental, Storm", "MM3", "48", "Elemental (Air, Extraplanar)", "Varies"
"Elemental, Water", "MM", "98", "Elemental (Extraplanar, Water)", "Varies"
"Elf", "MM", "101", "Humanoid, Medium (Elf)", "Varies"
"Elf, Aquatic", "MM", "103", "Humanoid, Medium (Elf)", "Varies"
"Elf, Drow", "MM", "103", "Humanoid, Medium (Elf)", "Varies"
"Elf, Gray", "MM", "104", "Humanoid, Medium (Elf)", "Varies"
"Elf, Wild", "MM", "104", "Humanoid, Medium (Elf)", "Varies"
"Elf, Wood", "MM", "104", "Humanoid, Medium (Elf)", "Varies"
"Felldrake", "MM2", "97", "Dragon", "Varies"
"Formarian", "MM", "108", "Outsider", "Varies"
"Formian", "FF", "76", "Outsider", "Varies"
"Fungus", "MM", "112", "Plant", "Varies"
"Genie", "MM", "114", "Outsider, Large", "Varies"
"Ghost", "MM", "116", "Undead", "Varies"
"Ghost", "OA", "165", "Undead", "Varies"
