Name,Book,Type,Subtype,Size,HD,CR,Environment,Misc
Mind Leach,['(FF p217)'],Aberration,Symbiont,Fine ,1,0.12,Underground,Host +2; Cerebral
Psionic Sinew,['(FF p218)'],Aberration,Symbiont,Tiny,2,0.12,Underground,Host +1; Cerebral
Neogi Spawn,['(MM2 p15) - (3.5up p35)'],Aberration,-,Tiny,0.25,0.25,Any Temperate Land; Any Warm Land; Underground,-
Cerebral Hood,['(FF p216)'],Aberration,Symbiont,Tiny,2,0.5,Underground,Host +1; Cerebral
Web Bird,['(DU148 p094)'],Aberration,-,Tiny,1,0.5,Warm Forest; Temperate Forest; Underground,-
Dolgrim,['(Eb p28) - (EbErrata)'],Aberration,-,Small ,1,1,Underground,Lvl +2
Flumph,['(DU118 p030)'],Aberration,-,Tiny,2,1,Any Temperate Underground,Lvl +2
Howler Wasp,['(MM4 p074)'],Aberration,-,Small ,2,1,Any Forest,-
Ixitxachitl,['(MM2 p12) - (3.5up p34)'],Aberration,Aquatic,Small ,1,1,Warm Aquatic,-
Living Breastplate,['(Eb p299)'],Aberration,Symbiont,Tiny,2,1,Underground,Host +1; Daelkyr
Mindshreadder Larva,['(MM3 p102)'],Aberration,-,Small ,2,1,Underground,-
Overseer,['(DU106 p094)'],Aberration,-,Tiny,2,1,Any Land,-
Tentacle Whip,['(Eb p300)'],Aberration,Symbiont,Tiny,2,1,Underground,Host +1; Daelkyr
Tongueworm,['(Eb p300)'],Aberration,Symbiont,Tiny,1,1,Underground,Host +1; Daelkyr
Yuan-ti Wretchling,['(SoX p086)'],Aberration,-,Medium ,1,1,Warm Forest,-
Anguillian,['(Storm p136)'],Aberration,Aquatic,Medium ,3,2,Cold Aquatic,Lvl +2
Choker,['(MM p034)'],Aberration,-,Small ,3,2,Underground,-
Dolgaunt,['(Eb p281)'],Aberration,-,Medium ,2,2,Underground,Lvl +3
Illithocyte,['(DR337 p027)'],Aberration,-,Small ,4,2,Underground,-
Lurking Stranglers,['(MM3 p100)'],Aberration,-,Tiny,2,2,Underground,-
Mad Slasher,['(DU124 p02) - (Mini p064)'],Aberration,-,Medium ,4,2,Adventure,-
"Mazchedeen (aka ""Tunnel Hunters"")",['(DU106 p091)'],Aberration,-,Medium ,4,2,Underground,Lvl +3
Opabiania,['(DR348 p056)'],Aberration,Aquatic,Medium ,3,2,Warm Marshes,-
Roach Thrall,['(Sharn p183)'],Aberration,-,Medium ,3,2,Any Warm,-
Skum,['(MM p228)'],Aberration,Aquatic,Medium ,2,2,Underground,Lvl +3
Tentacle Spider,['(SoX p083)'],Aberration,-,Medium ,2,2,Warm Forest; Temperate Forest,-
Ustilagor,['(DR337 p034)'],Aberration,-,Diminutive ,3,2,Underground,-
"Curse Cold One (aka ""Gelun"")",['(Sand p145)'],Aberration,-,Medium ,5,3,Warm Deserts,Lvl +2
Dustblight,['(Sand p160)'],Aberration,-,Medium ,5,3,Warm Deserts,-
Ethereal Filcher,['(MM p104)'],Aberration,-,Medium ,5,3,Underground,-
Ettercap,['(MM p106)'],Aberration,-,Medium ,5,3,Warm Forests,Lvl +4
Fihyr,['(MM2 p10) - (3.5up p33)'],Aberration,-,Small ,4,3,Any,-
Grell,['(MM2 p12) - (3.5up p34)'],Aberration,-,Medium ,5,3,Any,-
Grick,['(MM p139)'],Aberration,-,Medium ,2,3,Underground,-
Handlinger,['(DR352 p054)'],Aberration,Symbiont,Tiny,6,3,Any,Bas-Lag
Vampiric Ixitxachitl,['(MM2 p12) - (3.5up p34)'],Aberration,Aquatic,Small ,2,3,Warm Aquatic,-
Lurker,['(Und p094)'],Aberration,-,Large ,6,3,Underground,-
Meenlock,['(MM2 p14) - (3.5up p35)'],Aberration,-,Tiny,4,3,Temperate Forest; Underground,Lvl +4
Naga;  Bright,['(Mini p055)'],Aberration,-,Large ,5,3,Warm Mountains,-
Nothic,['(Mini p065)'],Aberration,-,Medium ,5,3,Underground,-
Runehound,['(MM3 p14) - (MM3Errata)'],Aberration,-,Medium ,5,3,Temperate Marshes,-
Rust Monster,['(MM p216)'],Aberration,-,Medium ,5,3,Underground,-
Carrion Crawler,['(MM p030)'],Aberration,-,Large ,3,4,Underground,-
Advanced Choker;  Obah-Blessed,['(DU136 p060)'],Aberration,-,Small ,6,4,Adventure,Template - Obah-Blessed; Advanced
Dolghast,['(MoE p143)'],Aberration,-,Medium ,6,4,Underground,-
Dolgrue,['(DR348 p051)'],Aberration,-,Large ,6,4,Underground,-
Half-Illithid Lizardfolk,['(FF p090)'],Aberration,Reptilian,Medium ,2,4,Underground,Lvl +6
Harpoon Spider,['(MM3 p08) - (MM3Errata)'],Aberration,-,Large ,5,4,Underground,-
Mimic,['(MM p186)'],Aberration,Shapechanger,Large ,7,4,Underground,-
Mindshreadder Warrior,['(MM3 p103)'],Aberration,-,Large ,7,4,Underground,-
Neogi;  4Adult,['(MM2 p15) - (3.5up p35)'],Aberration,-,Small ,5,4,Any Temperate Land; Any Warm Land; Underground,-
Otyugh,['(MM p204)'],Aberration,-,Large ,6,4,Underground,-
Snowcloak,['(Frost p153)'],Aberration,Cold,Large ,4,4,Cold Hills,-
Urquirsh,['(DR358 p062)'],Aberration,Extraplanar,Small ,6,4,Plane of Far Realms,-
Vivisector,['(MM5 p200)'],Aberration,-,Large ,7,4,Any,-
Cloaker,['(MM p036)'],Aberration,-,Large ,6,5,Underground,-
Gibbering Mouther,['(MM p126)'],Aberration,-,Medium ,4,5,Underground,-
Howler Wasp Queen,['(MM4 p074)'],Aberration,-,Large ,8,5,Any Forest,-
Ineffable Horror,['(Und p091)'],Aberration,-,Large ,5,5,Underground,-
Morkoth,['(MM2 p15) - (3.5up p35)'],Aberration,Aquatic,Medium ,7,5,Any Aquatic,Lvl +3
Psurlon;  Average,['(MM2 p17) - (3.5up p36)'],Aberration,-,Medium ,7,5,Underground,Lvl +5
Quaraphon,['(MM3 p12) - (MM3Errata) - (Eb p96)+'],Aberration,-,Large ,9,5,Temperate Plains; Plane of Kythri,Lvl +5
Wyste,['(MM2 p20) - (3.5up p3)+ - (Eb p99)'],Aberration,-,Huge ,5,5,Underground; Plane of Xoriat,-
Ahuizotl,['(FF p014)'],Aberration,Aquatic,Large ,7,6,Any Warm Freshwater,-
Catoblepas,['(MM2 p04) - (3.5up p31)'],Aberration,-,Huge ,6,6,Any Marsh,-
"Chuul;  Slime (aka ""Uchuulon"")",['(Storm p163)'],Aberration,Aquatic,Large ,11,6,Underground,-
Dolgaunt;  Monk 4th,['(Eb p281)'],Aberration,-,Medium ,6,6,Underground,Leveled Up; Lvl +3
Gauth,['(MM p026)'],Aberration,-,Medium ,6,6,Cold Hills,-
Grindylow,['(DR352 p053)'],Aberration,Aquatic,Large ,10,6,Cold Aquatic,Bas-Lag
Hook Horror,['(MM2 p12) - (3.5up p34)'],Aberration,-,Large ,10,6,Underground,Lvl +4
Mageripper Swarm,['(MM4 p098)'],Aberration,Swarm,Tiny,10,6,Any Temperate,-
Octopin,['(DU127 p059)'],Aberration,-,Medium ,8,6,Underground,-
Rot Reaver,['(MM3 p14) - (MM3Errata)'],Aberration,-,Medium ,10,6,Any,-
"Tall Mouther;  Arachnoid (aka ""Arachnoid Mouther"")",['(Und p080)'],Aberration,-,Large ,7,6,Underground,Template - Arachnoid
Will-O’-Wisp,['(MM p255)'],Aberration,Air,Small ,9,6,Temperate Marshes,-
Wyste;  Advanced,['(DU146 p041)'],Aberration,-,Huge ,9,6,Underground,Advanced
Aboleth,['(MM p008)'],Aberration,Aquatic,Huge ,8,7,Underground,-
Chuul,['(MM p035)'],Aberration,Aquatic,Large ,11,7,Temperate Marshes,-
Darktentacles,['(MM2 p05) - (3.5up p31)'],Aberration,-,Large ,9,7,Any Marsh,-
Drider,['(MM p089)'],Aberration,-,Large ,6,7,Underground,Lvl +4
Ettin; Hivebrood,['(DU127 p031)'],Aberration,AugmentedGiant,Large ,10,7,Any,Template - Hivebrood
Ettin; Spellwarped,['(MM3 p162)'],Aberration,AugmentedGiant,Large ,19,7,Cold Hills,Template - Spellwarped; Lvl +8
Malasynep,['(Frost p142)'],Aberration,Aquatic;Cold,Huge ,8,7,Cold Aquatic,-
Naga;  Water,['(MM p193)'],Aberration,Aquatic,Large ,7,7,Temperate Aquatic,-
Phasm,['(MM p208)'],Aberration,Shapechanger,Medium ,15,7,Underground,-
Rust Monster;  Advanced’,['(DU142 p080)'],Aberration,-,Large ,15,7,Underground,Advanced; Rust Monster;  Fiendish
Advanced,['(DU149 p022)'],Aberration,-,Large ,9,7,Underground,Template - Fiendish; Advanced
Scorrow,['(SoX p081)'],Aberration,-,Large ,10,7,Any,-
Seryulin,['(MM3 p14) - (MM3Errata)'],Aberration,Aquatic,Large ,10,7,Any Aquatic,Cohort +4
Slasrath,['(FF p158)'],Aberration,Extraplanar,Large ,8,7,Plane of Hades,-
Squamous Spewer,['(Dnc p193)'],Aberration,-,Large ,8,7,Underground,-
Stonesinger,['(MM3 p168)'],Aberration,Earth,Large ,9,7,Underground,-
Susurrus,['(MM3 p170)'],Aberration,-,Large ,8,7,Underground,-
Umber Hulk,['(MM p248)'],Aberration,-,Large ,8,7,Underground,-
Xorbeast,['(DR348 p058)'],Aberration,-,Large ,8,7,Underground,-
Zern Arcanovoure,['(MM4 p197)'],Aberration,-,Small ,10,7,Underground,-
Athach,['(MM p021)'],Aberration,-,Huge ,14,8,Temperate Hills,Lvl +5
Destrachan,['(MM p049)'],Aberration,-,Large ,8,8,Underground,-
Mind Flayer,['(MM p18) - (Eb p99)'],Aberration,-,Medium ,8,8,Underground; Plane of Xoriat,Lvl +7
Mindshreadder Zenthal,['(MM3 p104)'],Aberration,-,Medium ,13,8,Underground,-
Naga;  Dark,['(MM p191)'],Aberration,-,Large ,9,8,Temperate Hills,-
