Aarakocra,Mon,11,Monstrous Humanoid,1/2,Medium
Aballin,Mon,11,Ooze,4,Large
"Abeil, Queen",MM2,22,Monstrous Humanoid,12,Medium
"Abeil, Soldier",MM2,22,Monstrous Humanoid,6,Large
"Abeil, Vassal",MM2,22,Monstrous Humanoid,2,Medium
"Abishai, Black (Baatezu)",FCII,109,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",5,Medium
"Abishai, Blue (Baatezu)",FCII,109,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",7,Medium
"Abishai, Green (Baatezu)",FCII,109,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",6,Medium
"Abishai, Red (Baatezu)",FCII,110,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",8,Medium
"Abishai, White (Baatezu)",FCII,110,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",4,Medium
Aboleth,MM,8,Aberration (Aquatic),7,Huge
Aboleth Mage,MM,8,Aberration (Aquatic),17,Huge
"Aboleth, Psionic",XPH,185,"Aberration (Aquatic, Psionic)",7,Huge
Abomination Cult Leader,MM4,186,Monstrous Humanoid,9,Large
"Abomination, Anaxim",EL,158,"Construct (Lawful, Outsider)",22,Medium
"Abomination, Attropal",EL,159,"Undead (Evil, Lawful, Outsider)",30,Large
"Abomination, Chichimec",EL,160,"Outsider (Air, Evil)",21,Medium
"Abomination, Dream Larva",EL,161,"Outsider (Chaotic, Evil)",31,Large
"Abomination, Hecatoncheires",EL,162,"Outsider (Chaotic, Evil)",57,Huge
"Abomination, Infernal",EL,164,"Outsider (Evil, Chaotic, Lawful)",26,Large
"Abomination, Phaethon",EL,165,"Outsider (Chaotic, Evil, Fire)",34,Gargantuan
"Abomination, Phane",EL,166,"Outsider (Chaotic, Evil, Incorporeal)",25,Large
"Abomination, Xixecal",EL,167,"Outsider (Chaotic, Cold, Evil)",36,Colossal
Abrian,FF,12,Magical Beast (Extraplanar),1,Medium
Abyssal Eviscerator,MH,45,Outsider,4,Medium
Abyssal Maw,MM2,57,"Outsider (Chaotic, Extraplanar, Evil)",2,Medium
Abyssal Ravager,MM2,57,"Outsider (Chaotic, Extraplanar, Evil)",5,Large
